Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,RaCaT Feature/Family Description,FixedBin,PET_unit,CT_unit,MRI_unit
morphology,volume,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^3,mm^3,mm^3
morphology,approximate volume,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^3,mm^3,mm^3
morphology,surface,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^2,mm^2,mm^2
morphology,surface to volume ratio,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^2,mm^2,mm^2
morphology,compactness1,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,compactness2,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,spherical disproportion,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,sphericity,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,asphericity,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,center of mass shift,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm
morphology,maximum 3d diameter,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm
morphology,major axis length,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm
morphology,minor axis length,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm
morphology,least axis length,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm
morphology,elongation,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,flatness,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,vol density aabb,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,area density aabb,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,vol density ombb,MORPH,,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,area density ombb,MORPH,,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,vol density aee,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,integrated intensity,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,g,Hu*mm^3,--
morphology,morans i,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
morphology,gearys c,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--
local intensity,local intensity peak,LI,--,3D,9ST6,--,DHQ4,Local intensity,--,g/mm^3,Hu,--
local intensity,global intensity peak,LI,--,3D,9ST6,--,DHQ4,Local intensity,--,g/mm^3,Hu,--
intensity-based statistics,mean,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,variance,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,(g/mm^3)^2,Hu^2,--
intensity-based statistics,skewness,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--
intensity-based statistics,kurtosis,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--
intensity-based statistics,median,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,minimum,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,10th percentile,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,90th percentile,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,maximum,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,Interquartile range,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,range,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,Mean absolut deviation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,Robust mean absolute deviation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,Median absolute deviation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity-based statistics,Coefficient of variation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--
intensity-based statistics,Quartile coefficient,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--
intensity-based statistics,Energy,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,(g/mm^3)^2,Hu^2,--
intensity-based statistics,Root mean,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--
intensity histogram,mean,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,variance,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,skewness,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,kurtosis,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,median,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,minimum,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,10th percentile,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,90th percentile,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,maximum,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,mode,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,interquartile range,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,range,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,mean absolut deviation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,robust mean absolute deviation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,median absolut deviation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,coefficient of variation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,quartile coefficient,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,entropy,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,uniformity,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,energy,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,maximum histogram gradient,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,maximum histogram gradient grey level,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,minimum histogram gradient,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity histogram,minimum histogram gradient grey level,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--
intensity-volume histogram,volume at int fraction 10,IVH,--,3D,P88C,--,DHQ4,intensity volume,FB1,--,--,--
intensity-volume histogram,volume at int fraction 90,IVH,--,3D,P88C,--,DHQ4,intensity volume,FB1,--,--,--
intensity-volume histogram,int at vol fraction 10,IVH,--,3D,P88C,--,DHQ4,intensity volume,FB1,--,--,--
intensity-volume histogram,int at vol fraction 90,IVH,--,3D,P88C,--,DHQ4,intensity volume,FB1,--,--,--
intensity-volume histogram,difference vol at int fraction,IVH,--,3D,P88C,--,DHQ4,intensity volume,FB1,--,--,--
intensity-volume histogram,difference int at volume fraction,IVH,--,3D,P88C,--,DHQ4,intensity volume,FB1,--,--,--
grey-level co-occurrence matrix,joint maximum,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference normalised,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment normalised,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse variance,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,correlation,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,first measure of information correlation,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,2D:avg,2D,LFYI,--,BTW3,glcmFeatures2Davg,FB,--,--,--
grey-level co-occurrence matrix,joint maximum,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference normalised,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment normalised,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse variance,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,correlation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,first measure of information correlation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,2.5D:dmrg,2D,LFYI,--,JJUI,glcmFeatures2DDmrg,FB,--,--,--
grey-level co-occurrence matrix,joint maximum,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference normalised,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment normalised,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse variance,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,first measure of information correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,2D:mrg,2D,LFYI,--,SUJT,glcmFeatures2Dmrg,FB,--,--,--
grey-level co-occurrence matrix,joint maximum,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference normalised,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment normalised,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,inverse variance,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,correlation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,first measure of information correlation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint maximun,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
